Date,Open,High,Low,Close,Volume,ticker
2019-01-01,55.73,57.44,55.2,57.13,29826385,GOOGL
2019-01-02,55.36,55.75,54.39,54.56,51333322,GOOGL
2019-01-03,55.09,55.47,54.34,55.02,89876926,GOOGL
2019-01-04,53.77,54.82,53.09,54.49,70492889,GOOGL
2019-01-07,54.66,54.68,53.95,54.08,50335384,GOOGL
2019-01-08,53.59,54.41,53.51,53.91,12732036,GOOGL
2019-01-09,51.5,52.22,50.97,51.99,27586682,GOOGL
2019-01-10,52.05,52.1,51.28,51.81,47245758,GOOGL
2019-01-11,51.22,51.65,51.0,51.03,79236344,GOOGL
2019-01-14,54.04,54.33,53.51,54.27,17752661,GOOGL
2019-01-15,54.49,55.44,54.35,54.53,4360224,GOOGL
2019-01-16,53.55,54.45,53.46,54.22,80599070,GOOGL
2019-01-17,53.26,54.26,53.16,53.98,32751419,GOOGL
2019-01-18,53.8,53.85,52.59,53.36,46570773,GOOGL
2019-01-21,53.01,53.57,52.06,52.38,6517856,GOOGL
2019-01-22,52.25,52.27,51.61,52.04,13076204,GOOGL
2019-01-23,52.72,53.1,52.34,52.54,78781822,GOOGL
2019-01-24,52.16,52.54,51.23,52.35,12082133,GOOGL
2019-01-25,53.25,53.33,52.95,53.31,89469922,GOOGL
2019-01-28,52.7,53.23,52.45,53.16,79632674,GOOGL
2019-01-29,54.07,54.51,53.19,53.22,35457663,GOOGL
2019-01-30,54.5,55.8,54.48,54.78,84134743,GOOGL
2019-01-31,55.58,56.16,55.33,55.37,4428198,GOOGL
2019-02-01,54.9,55.19,54.26,54.9,82824678,GOOGL
2019-02-04,54.06,54.79,53.98,54.76,25985216,GOOGL
2019-02-05,56.32,56.6,55.31,55.34,42685298,GOOGL
2019-02-06,57.17,57.65,56.84,57.37,10734567,GOOGL
2019-02-07,56.73,57.7,56.62,57.13,63735581,GOOGL
2019-02-08,56.98,57.36,56.5,56.92,73629504,GOOGL
2019-02-11,57.53,58.02,57.26,58.01,44527749,GOOGL
2019-02-12,57.14,57.45,56.26,57.12,84081902,GOOGL
2019-02-13,56.36,56.9,56.03,56.86,5942383,GOOGL
2019-02-14,58.12,58.14,57.57,57.82,62152804,GOOGL
2019-02-15,58.51,58.56,58.28,58.48,28821360,GOOGL
2019-02-18,57.89,58.69,57.87,58.62,20303456,GOOGL
2019-02-19,59.95,59.96,59.03,59.38,53212864,GOOGL
2019-02-20,56.53,56.99,56.01,56.43,41521662,GOOGL
2019-02-21,56.96,57.58,56.89,57.54,29240072,GOOGL
2019-02-22,56.77,56.77,55.91,56.58,47237910,GOOGL
2019-02-25,55.14,55.59,54.91,54.92,39924153,GOOGL
2019-02-26,56.18,56.49,54.94,55.24,66861308,GOOGL
2019-02-27,55.55,56.48,55.55,55.99,57039941,GOOGL
2019-02-28,56.01,56.28,55.41,55.57,43161102,GOOGL
2019-03-01,54.49,55.08,53.98,54.53,5883065,GOOGL
2019-03-04,54.91,54.94,54.34,54.6,76541402,GOOGL
2019-03-05,54.46,54.96,54.45,54.58,7457394,GOOGL
2019-03-06,56.02,56.07,55.24,56.04,2939848,GOOGL
2019-03-07,57.12,57.59,56.36,56.85,47454712,GOOGL
2019-03-08,56.48,57.47,56.08,57.1,51131795,GOOGL
2019-03-11,57.19,58.45,57.17,58.31,41347748,GOOGL
2019-03-12,58.13,58.56,57.94,58.13,10887946,GOOGL
2019-03-13,56.97,57.72,56.91,57.2,49204696,GOOGL
2019-03-14,57.9,58.05,57.31,57.85,39583594,GOOGL
2019-03-15,58.86,58.95,57.5,58.51,3449930,GOOGL
2019-03-18,58.22,59.0,57.97,58.33,28560346,GOOGL
2019-03-19,58.18,58.28,57.45,57.54,80276388,GOOGL
2019-03-20,57.81,58.09,57.28,57.82,5497267,GOOGL
2019-03-21,55.35,55.93,55.11,55.29,4501456,GOOGL
2019-03-22,56.46,56.88,55.5,56.03,77694832,GOOGL
2019-03-25,56.89,57.01,56.15,56.57,39617144,GOOGL
2019-03-26,54.91,55.51,53.29,54.94,18916234,GOOGL
2019-03-27,55.12,55.43,54.9,55.04,89407643,GOOGL
2019-03-28,53.76,54.26,53.28,54.12,63485062,GOOGL
2019-03-29,54.62,54.96,54.45,54.92,43470894,GOOGL
2019-04-01,53.01,53.18,52.85,52.95,60421482,GOOGL
2019-04-02,52.51,52.65,51.61,52.11,9771536,GOOGL
2019-04-03,52.63,53.07,52.14,52.83,56805078,GOOGL
2019-04-04,54.42,54.47,53.72,53.99,4405179,GOOGL
2019-04-05,52.88,53.2,51.52,51.94,75589664,GOOGL
2019-04-08,52.54,52.95,51.38,51.51,26331788,GOOGL
2019-04-09,51.89,52.47,51.28,51.86,89814914,GOOGL
2019-04-10,51.83,51.88,51.27,51.32,86340321,GOOGL
2019-04-11,53.19,53.35,52.34,52.87,69473692,GOOGL
2019-04-12,52.16,52.62,51.65,51.77,60128710,GOOGL
2019-04-15,52.56,52.74,51.78,52.14,86312756,GOOGL
2019-04-16,51.46,52.3,50.94,51.19,79668889,GOOGL
2019-04-17,52.98,53.44,52.46,52.56,7252893,GOOGL
2019-04-18,52.69,52.7,52.57,52.58,47961982,GOOGL
2019-04-19,52.16,52.75,51.58,52.26,62196131,GOOGL
2019-04-22,50.82,50.96,50.33,50.68,18935424,GOOGL
2019-04-23,52.56,52.73,52.06,52.3,37391149,GOOGL
2019-04-24,53.68,53.8,52.39,53.06,65699795,GOOGL
2019-04-25,54.04,54.27,53.78,53.83,87518399,GOOGL
2019-04-26,55.4,55.98,54.53,55.0,16872814,GOOGL
2019-04-29,56.15,56.18,54.89,55.39,83084654,GOOGL
2019-04-30,54.35,55.05,54.3,54.79,34351993,GOOGL
2019-05-01,53.93,54.26,53.47,54.03,21707847,GOOGL
2019-05-02,53.58,53.7,53.22,53.29,64893276,GOOGL
2019-05-03,54.72,55.02,54.22,54.68,24046343,GOOGL
2019-05-06,52.81,53.43,52.39,53.28,26576163,GOOGL
2019-05-07,53.24,53.69,52.42,52.74,58283326,GOOGL
2019-05-08,52.46,52.5,51.72,52.47,84227468,GOOGL
2019-05-09,52.26,53.09,51.38,52.72,3456830,GOOGL
2019-05-10,54.26,54.45,53.01,53.31,82059735,GOOGL
2019-05-13,51.56,52.15,50.99,52.15,64434076,GOOGL
2019-05-14,50.58,50.79,50.34,50.56,84165007,GOOGL
2019-05-15,50.31,50.82,49.91,50.59,40646908,GOOGL
2019-05-16,51.84,52.93,51.27,51.77,4242824,GOOGL
2019-05-17,52.82,53.01,52.32,52.52,55908530,GOOGL
2019-05-20,52.4,53.46,52.12,52.77,57231223,GOOGL
2019-05-21,52.48,52.59,52.41,52.5,37633612,GOOGL
2019-05-22,52.78,53.55,52.73,52.82,6850113,GOOGL
2019-05-23,52.16,53.11,51.83,52.62,33964177,GOOGL
2019-05-24,54.05,54.99,53.07,53.45,32930196,GOOGL
2019-05-27,52.83,53.02,52.45,52.72,84532578,GOOGL
2019-05-28,52.77,53.31,52.43,52.89,78162180,GOOGL
2019-05-29,52.52,53.09,51.65,52.82,89597813,GOOGL
2019-05-30,53.24,53.45,53.03,53.38,60595471,GOOGL
2019-05-31,53.73,53.79,53.18,53.64,88115061,GOOGL
2019-06-03,56.03,56.69,55.83,56.24,26021378,GOOGL
2019-06-04,58.53,58.74,57.81,57.84,59143189,GOOGL
2019-06-05,58.13,60.45,57.82,59.49,17600246,GOOGL
2019-06-06,56.25,57.49,56.2,57.35,37568173,GOOGL
2019-06-07,56.93,57.11,56.65,57.04,14611027,GOOGL
2019-06-10,55.52,57.18,54.67,56.45,25804840,GOOGL
2019-06-11,57.03,57.29,56.87,57.04,13594066,GOOGL
2019-06-12,54.45,55.31,54.28,54.75,40870470,GOOGL
2019-06-13,56.3,56.44,55.61,55.98,43160588,GOOGL
2019-06-14,57.36,57.46,56.24,57.12,59836482,GOOGL
2019-06-17,56.51,57.26,55.67,55.82,43400708,GOOGL
2019-06-18,55.36,55.77,54.35,54.87,20159184,GOOGL
2019-06-19,54.76,54.82,53.72,54.11,75071077,GOOGL
2019-06-20,54.48,54.78,54.07,54.19,70779639,GOOGL
2019-06-21,55.43,55.69,54.19,54.87,46257064,GOOGL
2019-06-24,57.29,57.49,56.68,57.0,58341311,GOOGL
2019-06-25,56.56,57.39,55.81,56.84,64751355,GOOGL
2019-06-26,57.05,58.35,56.93,57.68,58202398,GOOGL
2019-06-27,57.27,58.07,56.88,57.89,71260385,GOOGL
2019-06-28,60.11,60.16,59.66,59.82,4182092,GOOGL
2019-07-01,59.38,61.12,58.82,60.68,67288257,GOOGL
2019-07-02,62.39,62.45,61.91,62.26,64553185,GOOGL
2019-07-03,60.7,61.37,60.02,61.09,40029960,GOOGL
2019-07-04,61.36,61.39,60.69,60.92,33045560,GOOGL
2019-07-05,60.2,60.58,59.64,60.07,71721206,GOOGL
2019-07-08,61.39,62.02,61.0,61.79,35643663,GOOGL
2019-07-09,62.61,64.15,62.49,62.58,4954096,GOOGL
2019-07-10,61.0,62.32,60.78,62.27,83269642,GOOGL
2019-07-11,61.98,62.78,61.8,61.81,2530859,GOOGL
2019-07-12,62.69,63.0,62.31,62.4,87442113,GOOGL
2019-07-15,60.64,61.94,60.4,61.65,35047794,GOOGL
2019-07-16,61.15,61.22,60.63,60.65,77293634,GOOGL
2019-07-17,61.19,61.57,61.1,61.23,83234622,GOOGL
2019-07-18,64.22,64.44,63.86,64.1,6732201,GOOGL
2019-07-19,63.05,63.87,62.65,63.85,15410774,GOOGL
2019-07-22,63.63,63.7,62.74,63.25,40877295,GOOGL
2019-07-23,62.32,62.42,61.78,61.96,23996902,GOOGL
2019-07-24,60.53,60.78,60.2,60.51,81472748,GOOGL
