Date,Open,High,Low,Close,Volume,ticker
2019-01-01,98.59,100.61,98.16,100.41,17369362,MSFT
2019-01-02,100.25,100.36,98.51,99.61,82371620,MSFT
2019-01-03,98.25,100.0,98.1,99.0,14373071,MSFT
2019-01-04,95.68,95.74,94.68,95.05,64682624,MSFT
2019-01-07,99.21,100.07,98.01,98.09,65078117,MSFT
2019-01-08,99.08,100.66,98.54,100.11,70557767,MSFT
2019-01-09,98.66,100.3,98.6,99.64,61720203,MSFT
2019-01-10,101.05,101.52,100.57,101.05,27249193,MSFT
2019-01-11,100.16,101.97,98.5,101.62,15701399,MSFT
2019-01-14,101.37,101.93,100.69,100.76,68172827,MSFT
2019-01-15,102.7,102.71,102.32,102.54,80344893,MSFT
2019-01-16,102.92,103.51,101.14,102.09,69790599,MSFT
2019-01-17,100.07,101.85,99.25,101.61,31634526,MSFT
2019-01-18,100.51,100.96,99.18,100.33,22057573,MSFT
2019-01-21,101.6,102.5,100.68,101.2,34594056,MSFT
2019-01-22,99.62,101.44,98.61,101.12,64998658,MSFT
2019-01-23,102.92,102.99,101.06,102.15,65917173,MSFT
2019-01-24,100.05,101.24,99.11,101.19,87661933,MSFT
2019-01-25,101.66,102.3,101.39,101.5,41901405,MSFT
2019-01-28,98.98,100.47,97.42,100.06,7439680,MSFT
2019-01-29,102.26,102.48,100.18,101.59,48415895,MSFT
2019-01-30,103.45,104.29,100.87,102.0,46698706,MSFT
2019-01-31,102.73,103.27,101.81,102.67,31571667,MSFT
2019-02-01,103.52,103.83,102.27,103.47,39289120,MSFT
2019-02-04,102.91,103.23,101.66,101.8,59677881,MSFT
2019-02-05,102.89,104.05,102.36,103.26,73990200,MSFT
2019-02-06,107.09,108.28,106.92,107.02,21321034,MSFT
2019-02-07,104.91,105.36,103.15,104.17,20475437,MSFT
2019-02-08,101.62,102.1,101.14,101.24,42902261,MSFT
2019-02-11,100.09,100.12,98.06,98.77,53991807,MSFT
2019-02-12,101.31,101.76,99.43,100.28,45082169,MSFT
2019-02-13,102.23,102.24,100.34,100.59,37084761,MSFT
2019-02-14,102.57,103.03,101.86,102.54,89279781,MSFT
2019-02-15,104.91,105.02,103.58,103.9,69128128,MSFT
2019-02-18,103.71,105.05,103.23,104.36,57981085,MSFT
2019-02-19,105.81,106.6,104.27,104.96,47495583,MSFT
2019-02-20,106.33,107.03,104.12,104.75,29279329,MSFT
2019-02-21,108.54,110.21,105.34,106.4,85856786,MSFT
